,Separation,Periodogram,MUSIC,FISTA
0,0.3,0.009999999776482582,0.0,0.27000001072883606
1,0.37777777777777777,0.03999999910593033,0.0,0.41999998688697815
2,0.45555555555555555,0.03999999910593033,0.0,0.3700000047683716
3,0.5333333333333333,0.009999999776482582,0.0,0.3199999928474426
4,0.6111111111111112,0.07999999821186066,0.05999999865889549,0.27000001072883606
5,0.6888888888888889,0.11999999731779099,0.07000000029802322,0.33000001311302185
6,0.7666666666666666,0.18000000715255737,0.18000000715255737,0.4300000071525574
7,0.8444444444444446,0.20999999344348907,0.3100000023841858,0.47999998927116394
8,0.9222222222222223,0.28999999165534973,0.5400000214576721,0.5
9,1.0,0.23999999463558197,0.7099999785423279,0.4699999988079071
